,orderID,symbol,volume,action,executionPrice,executionDate,brokerLoan,requestMargin,closePrice,closeDate,profit,comment,closed,equity
0,64824140975465584268,EUR.USD,0.1,short,1.11568,2020-01-03 02:20:00,10784.906666666666,371.8933333333333,1.11562,2020-01-03 03:08:00,0.5999999999984311,,True,100000.59999999999
1,52535268901170479955,EUR.USD,0.1,long,1.11571,2020-01-03 03:09:00,10785.196666666667,371.90333333333336,1.11601,2020-01-03 03:28:00,3.000000000000284,,True,100003.6
2,65396726882704799243,EUR.USD,0.1,short,1.11583,2020-01-03 03:29:00,10786.356666666668,371.9433333333334,1.11588,2020-01-03 03:38:00,-0.4999999999993179,,True,100003.1
3,96166248043628999490,EUR.USD,0.1,short,1.11564,2020-01-03 03:39:00,10784.52,371.88,1.11551,2020-01-03 03:43:00,1.3000000000000682,,True,100004.40000000001
4,97609836513456639625,EUR.USD,0.1,long,1.11534,2020-01-03 03:44:00,10781.619999999999,371.78,1.1153,2020-01-03 03:45:00,-0.3999999999989541,,True,100004.0
5,93722667623414797422,EUR.USD,0.1,short,1.1152,2020-01-03 03:46:00,10780.266666666666,371.73333333333335,1.11494,2020-01-03 04:38:00,2.5999999999983174,,True,100006.59999999999
6,46923556789134438051,EUR.USD,0.1,long,1.11489,2020-01-03 04:39:00,10777.27,371.63,1.11431,2020-01-03 04:49:00,-5.800000000000068,,True,100000.79999999999
7,76072058210426966886,EUR.USD,0.1,short,1.11437,2020-01-03 04:50:00,10772.243333333334,371.4566666666667,1.11337,2020-01-03 05:56:00,9.999999999999773,,True,100010.79999999999
8,3520797505922555920,EUR.USD,0.1,long,1.11346,2020-01-03 05:57:00,10763.446666666665,371.1533333333333,1.1131,2020-01-03 06:09:00,-3.5999999999982037,,True,100007.2
9,91383960661870343454,EUR.USD,0.1,short,1.11299,2020-01-03 06:10:00,10758.903333333334,370.99666666666667,1.11292,2020-01-03 06:33:00,0.6999999999995907,,True,100007.89999999998
10,13752102994408003656,EUR.USD,0.1,long,1.1127,2020-01-03 06:34:00,10756.1,370.9,1.1128,2020-01-03 06:37:00,0.9999999999996589,,True,100008.89999999998
11,26360277253243085693,EUR.USD,0.1,short,1.11263,2020-01-03 06:38:00,10755.423333333332,370.87666666666667,1.113,2020-01-03 06:59:00,-3.7000000000028876,,True,100005.19999999998
12,72708193595536408274,EUR.USD,0.1,long,1.11298,2020-01-03 07:00:00,10758.806666666667,370.9933333333334,1.11297,2020-01-03 07:28:00,-0.0999999999999659,,True,100005.09999999998
13,24261499650899289625,EUR.USD,0.1,short,1.11302,2020-01-03 07:29:00,10759.193333333333,371.0066666666666,1.11349,2020-01-03 07:35:00,-4.700000000002149,,True,100000.39999999998
14,79749468283288533233,EUR.USD,0.1,long,1.11343,2020-01-03 07:36:00,10763.156666666666,371.1433333333333,1.11469,2020-01-03 08:38:00,12.600000000000477,,True,100012.99999999999
15,43133142571554011200,EUR.USD,0.1,short,1.11478,2020-01-03 08:39:00,10776.206666666667,371.59333333333336,1.11468,2020-01-03 08:42:00,1.0000000000010232,,True,100013.99999999999
16,36957167627606650936,EUR.USD,0.1,long,1.11471,2020-01-03 08:43:00,10775.53,371.57,1.11419,2020-01-03 08:49:00,-5.200000000001012,,True,100008.79999999999
17,9352213726612666096,EUR.USD,0.1,short,1.11404,2020-01-03 08:50:00,10769.053333333333,371.34666666666664,1.11423,2020-01-03 09:13:00,-1.900000000001171,,True,100006.89999999998
18,67043928865988968500,EUR.USD,0.1,long,1.11411,2020-01-03 09:14:00,10769.729999999998,371.36999999999995,1.11607,2020-01-03 10:38:00,19.600000000001216,,True,100026.49999999999
